DensE1,LongE1,LatE1
510.0441091,-74.10213839,4.474385892
502.5474886,-74.13457526,4.465702668
381.6595576,-74.09402877,4.464076937
531.9250216,-74.12970942,4.461904912
413.1151299,-74.08700085,4.472758479
399.1838806,-74.09294768,4.471130612
392.0947552,-74.0972725,4.464619445
453.921532,-74.13079034,4.457564126
992.8578321,-74.12970996,4.46950115
703.2716818,-74.12268151,4.463533143
630.4123576,-74.15133701,4.491202809
820.7738388,-74.10592382,4.501515168
498.7079165,-74.10213836,4.473300715
395.0301004,-74.09673185,4.463534283
464.3033401,-74.12322175,4.457564636
822.183887,-74.13620286,4.537324134
462.0311368,-74.10105693,4.467874865
428.2774943,-74.13781836,4.458106171
455.7322608,-74.12916846,4.457021653
392.210984,-74.09456938,4.463534336
456.9160533,-74.13133095,4.457564086
896.8464474,-74.09889555,4.505856113
492.5385616,-74.10808507,4.469502371
495.5756513,-74.12214059,4.45864988
403.5676178,-74.09835378,4.466247181
771.6777478,-74.12430381,4.470586692
406.3480192,-74.09132583,4.472215822
597.535319,-74.15457959,4.47926554
923.4426326,-74.11673645,4.496088785
498.8542498,-74.10376025,4.473843247
483.083975,-74.10700385,4.470045004
944.5259072,-74.1264672,4.484151257
973.5728133,-74.12592657,4.484151293
434.6796525,-74.09781352,4.479269321
446.4515273,-74.14214331,4.458648391
409.41532,-74.09889443,4.467332343
453.8344606,-74.13673735,4.460819201
385.2845757,-74.08483832,4.469502973
633.7246457,-74.1324138,4.479267541
434.9327077,-74.1421435,4.460818745
462.5521654,-74.1064631,4.466789494
699.1717555,-74.12322209,4.462990521
495.0723829,-74.08970419,4.485780562
983.0658763,-74.12538565,4.479810623
386.3943149,-74.08483831,4.468417796
446.7474013,-74.13835911,4.459733892
468.9414751,-74.09781355,4.480354498
398.0036479,-74.09727248,4.464076857
506.3020786,-74.10700389,4.471130181
686.2688644,-74.12646781,4.493375255
475.7530133,-74.13565637,4.464074818
555.3075723,-74.14268628,4.485235166
922.145507,-74.11511446,4.495003694
463.9999761,-74.13673761,4.464074732
506.8119834,-74.12160001,4.459192501
455.1011768,-74.14863593,4.512906585
462.8540634,-74.12592479,4.457021874
534.1679161,-74.10808519,4.472215314
465.2696185,-74.14160388,4.472213147
537.5452438,-74.12646561,4.46027737
462.8835547,-74.14538814,4.471127629
419.323451,-74.09997564,4.466247133
439.936152,-74.13727757,4.455935861
418.4242251,-74.14160308,4.462989146
454.1700082,-74.1053818,4.465161771
609.1917748,-74.1567431,4.488489302
492.737789,-74.15025827,4.516704537
429.7511525,-74.08591961,4.47384367
562.6633649,-74.15511982,4.475467367
1019.17959,-74.10105766,4.490663578
794.064232,-74.12484474,4.475469952
473.8971558,-74.14538839,4.47384057
449.4074344,-74.14430665,4.468414788
920.9563018,-74.12051998,4.479810926
418.3845993,-74.1437698,4.510194108
594.7955967,-74.14160477,4.482522321
500.1533396,-74.09997597,4.477098904
575.9620459,-74.1621492,4.486318344
643.4884796,-74.11565384,4.470587193
480.1655164,-74.13781907,4.466787585
541.5570888,-74.12754872,4.487949301
531.6389631,-74.12916877,4.461362361
524.8030721,-74.10213846,4.476556246
932.0533126,-74.0978138,4.489578499
610.4675717,-74.15512027,4.479808071
496.9623271,-74.10754449,4.470587571
465.4696325,-74.13457497,4.461904549
968.1312743,-74.12700656,4.46516063
945.2305248,-74.11943872,4.479810989
988.0578118,-74.125386,4.485236505
434.145497,-74.14322483,4.461903826
456.9003329,-74.15187551,4.470041823
427.7161934,-74.13727766,4.457021038
585.356556,-74.11186923,4.465161495
588.8967329,-74.11024749,4.467874512
464.2218517,-74.10430066,4.467874754
442.3247393,-74.13998109,4.461361521
494.0061648,-74.1324125,4.461904714
550.6433534,-74.15566004,4.471669193
452.8381077,-74.13889981,4.460819023
401.2629049,-74.09511019,4.471673152
407.8889739,-74.09240704,4.470045447
1082.571943,-74.10051711,4.493376537
633.5427007,-74.15890582,4.490116827
500.356755,-74.13187189,4.461904755
559.9212501,-74.14214579,4.486862978
1019.690027,-74.11295156,4.487950156
554.5871037,-74.1497166,4.506395428
618.928386,-74.11349129,4.469502126
431.7938516,-74.14917235,4.469499504
455.3515357,-74.13781867,4.46190429
409.6272514,-74.09781342,4.475471202
453.9697854,-74.13349341,4.457563925
556.3521201,-74.14268623,4.484692578
606.4977654,-74.11024768,4.47221522
887.4616122,-74.11781639,4.471672254
644.8864646,-74.13349485,4.476554518
923.1731249,-74.12484569,4.490119834
677.5356361,-74.13295406,4.474384206
755.9817349,-74.09943559,4.485237746
628.0682838,-74.11457257,4.47004466
521.7488657,-74.1356571,4.47329882
530.4048308,-74.10646348,4.476556087
465.679732,-74.13403431,4.461362003
632.5329853,-74.11565359,4.465703897
605.7260806,-74.11295044,4.464618855
903.2328019,-74.12106039,4.476012776
470.2748642,-74.15890914,4.519959141
496.1196612,-74.08808226,4.484152822
477.499912,-74.13836027,4.473841188
510.6180659,-74.13349394,4.464617575
403.2205504,-74.08970395,4.471673262
852.6945828,-74.12700645,4.463532864
452.0597183,-74.10646301,4.46461914
510.9356786,-74.13511737,4.484693214
504.3616964,-74.15025768,4.510736074
488.9461756,-74.12159998,4.458649912
407.46913,-74.0978134,4.474928613
